No.,Radio ID,Name,Call Type,Call Alert
1,3127,MN State,Group Call,None
2,31272,MN Metro,Group Call,None
3,3116204,3116204,Group Call,None
4,31269,WMTG,Group Call,None
5,3127007,3127007,Group Call,None
6,312704,312704,Group Call,None
7,31271,CMNDMR,Group Call,None
8,312728,312728,Group Call,None
9,31273,Northstar Hub,Group Call,None
10,312734,312734,Group Call,None
11,31275,Southern MN,Group Call,None
12,31276,Minnesota ARES,Group Call,None
13,312869,312869,Group Call,None
14,313846,313846,Group Call,None
15,31555,31555,Group Call,None
16,31621,HRCC,Group Call,None
17,31652,RVing Hams,Group Call,None
18,3167,Allstar,Group Call,None
19,31673,R5AUXCOMM,Group Call,None
20,3197173,3197173,Group Call,None
21,31990,31990,Group Call,None
